cleaned_text,label
"waduh, tahu gini dulu kagak usah dinaturalisasi sih kalau minim kontribusi untuk timnas indonesia.",0
"tolol lu , terus lu sebagai exco pssi prestasi apa yang telah lu perbuat untuk timnas selain naturalisasi(?) fans timnas wajarlah ngamuk sementara pemecatan sty aja dadakan dan sangat tidak fair.",0
"klub pemain kita lainnya bisa nih kek gini... apalagi yang calon naturalisasi, biar mereka semakin mau bela timnas...",2
"wkwk ini pemain naturalisasi sampah bgt ga ada bagus2 nya buat sepakbola indonesia. di timnas gagal penalti, di liga ga respect, di socmed jg ngegas mulu lancar bener ngehujatnya",0
menurut gue kayanya gapapa deh timnas indo banyakin pemain naturalisasi yang penting bisa memperbaiki kualitas sepak bolanya soalnya dari dulu tu sepak bola indonesia gini gini aja mulai dari gue sd sampe udah kuliah,0
males nonton timnas sejak coachnya diganti. dgn sty setidaknya ada perencanaan dan proses jangka panjang. setuju2 aja dgn naturalisasi tp begitu ngeliat cuma 1 pemain homegrown yg maen ya sedih juga. keliatan bgt muatan politiknya dan pingin hasil instan.,0
banyak pemain naturalisasi di timnas indonesia tp yg di elu2 kan tetap asnawi. jd artinya apa bang messi?,0
"coba deh standar naturalisasi pemain bolanya ditingkatkan pak. pemain keturunan yg masih aktif main di kompetisi utama eropa / kompetisi teratas asia yg dinaturalisasi. syukur-syukur yang masih usia muda. pasti punya dampak buat timnas, pak.",2
"banyak skali keturunan indonesia yg ternyata bermain bagus dan bisa bersinar di luar negri. ok, gua gak muna gua setuju naturalisasi (demi prestasi timnas senior yg sudah memalukan) tapi, pertanyaan gua , berarti pelatihan dalam negri kita itu seburuk apa?",0
"wih negara-negara asean jadi pada gencar pemain naturalisasi ma keturunan, ini jadi menarik ketika timnas harus bersaing lagi nanti di wc 2030, apakah timnas kita akan tetep perform atau seperti biasa negara asean yang lain ngejar, menarik",2
"laku banget ya nigga² di indonesia, easy kentu. pantes banyak pemain timnas dari naturalisasi.",2
yagimana.. lo kan dari belom kena kopit aja udah jadi koordinator dajjal.. masa naturalisasi jadi timnas gamau sik?,0
makin ke bukti statement om rocky gerung “timnas indonesia hmpir 100% naturalisasi adalah produk penipuan bagi bangsa indonesia”.,0
"klo gaji club itu ud di rangkep bro selama kontrak,misal 2 thn ya bayar nya 2th lgsg itu+nilai kontrak si pemain,beda lg sm timnas yg sistem nya bulanan,klo sponsor club sm sponsor pemain kan beda lagi pemasukannya.coba situ liat pemain naturalisasi yg main di luar gabakal…",1
"saran jgn ada naturalisasi., progam naturalisasi ga pernah menghasilkan piala apapun buat timnas indonesia.",0
"belum dinaturalisasi, sandy walsh kecewa tak bisa bela timnas indonesia: calon pemain naturalisasi sandy walsh belum bisa memperkuat timnas indonesia saat melawan kuwait di kualifikasi piala asia 2023",1
"sakit yang tak berdarah yang terhormat pengurus federasi sepak bola indonesia, kira2 mau sampai kapan sepakbola kita seperti ini? bkn salah pelatih atau pemain, tp yg slh yg ngurus sepakbola..apa perlu kita naturalisasi pengurus sepakbola luar, biar ngurus sepakbola disini",0
fans fans fomo timnas indonesia ini ketagihan naturalisasi dan cara instan yang dikerjakan erick thohir ketika ada yang membahas roadmap soal pembinaan usia muda liga dan sebagainya mereka marah dan mereka akan kira yang mengkritik itu buzzer salah 1 pundit lucu sih,0
"ternyata timnas indonesia stuck disitu2 aja yaa, kirain ada perkembangan ya berarti gasalah sty mau banyak pemain naturalisasi, biar punya pemain timnas yg isi staminanya roti susu",0
naturalisasi pemain bukan satu-satunya opsi meningkatkan prestasi timnas indonesia,1
"tbh, gw sedikit bersyukur timnas gagal lolos ke pildun. biar pssi sadar diri, kalo naturalisasi aja ga cukup dan orang-orang yang berharap dapet “sesuatu” dari timnas akhirnya ga dapet apa-apa",0
"bawa timnas indonesia naik peringkat fifa ke 100. udah bisa lawan tim2 arab dengan bermodalkan pemain naturalisasi asli dari fm21. ezra walian, thom haye, elkan baggot, dan benjamin van leer jadi tumpuan.",2
semoga pemain timnas ini (khususnya yang naturalisasi) bisa terus main di liga eropa. asiancup2023,1
ntar kalo udah umur 30 belom nembus timnas belanda baru mau di naturalisasi lord wkkk,0
menolak mengakui hindia belanda sebagai indonesia yang menjadi wakil dari asia pertama di piala dunia sama dengan netizen yang menolak thom haye dkk berstatus sebagai pemain naturalisasi di timnas indonesia. source:,1
jadi kangen pemain naturalisasi timnas indon nyanyiin indonesia raya cuma bagian reffnya aj sisanya ngunyah2 permen karet,2
