cleaned_text,createdAt
"tadinya okelah pas denger naturalisasi buat kemajuan sepak bola indo. tapi pas denger bilang ga nonton liga indonesia, langsung dari mulut seorang bapak federasi sepak bola indonesia, ini sebuah lelucon terbesar",2025-05-09 14:07:40+00:00
"masih aja pada ributin pemain timnas skrng? alesan trll bnyk naturalisasi, g patriotik lah nih tengok sblm era skrng sdh seabrek pemain naturalisasi...tp mulut kalian g kyk comberan sprt skrng, kalian asliny g suka pssi ada pak kan? krn ilang lahan basah kalian",2024-12-27 14:35:20+00:00
"us sering bersaing dengan negara lain untuk mendapatkan pemain, dest vs belanda, musah vs inggris. memang mereka tidak naturalisasi karena bisa dual passport, tp case tentu mirip dengan timnas indonesia. yg banyak diaspora di eropa, layaknya dest dan musah diaspora us di eropa.",2021-11-13 23:54:16+00:00
"berkat pemain naturalisasi, timnas indonesia semakin kental rasa eropa",2023-09-14 00:10:00+00:00
"yes. naturalisasi tidak bisa dianggap buruk. contoh nyata ya el loco, lilipaly sama beto. yg jelas memang pemantauan/scouting dan timing yg menjadikan para pemain naturalisasi bisa berkontribusi nyata buat timnas.",2021-07-03 10:16:27+00:00
set... capres asing... klw mau di timnas harus d naturalisasi dulu parah bangsaku.,2021-03-15 15:28:26+00:00
"tiba2 ada yg tereak sty out,padahal sty pelatih bagus...emang situ keren? coba bawa didier deschamps latih timnas indonesia pasti dia juga bingung mao ngapain....kompetisi nya aja begitu gimana mao pilih pemain makanya harap maklum sty ngebet naturalisasi pemain keturunan....",2023-01-14 11:17:30+00:00
"masih mending era ibul/edy rahmayadi bisa jalanin piala indonesia liga putri. era et full sponsor/support pemerintah larinya ke timnas doang, itupun yg di tonjolin proyek naturalisasi!",2025-07-07 04:49:21+00:00
"teja, kalo warga negara itali, donnarumma juga bakal jadi cadangannya, jadi lu gausah cape-cape naturalisasi si emil buat jadi kiper timnas. emil biar fokus di jabar aja.",2022-03-09 16:02:00+00:00
"kalo dengan cara naturalisasi timnas indonesia bisa juara kayanya ngga apa-apa deh, asal bisa dipanggil timnas terus. kalo kaya aff tahun ini sty terbentur aturan cuma bisa manggil maksimal 2 dari tiap klub liga indonesia kayanya sulit buat dapetin timnas terbaik.",2021-11-12 11:52:37+00:00
"prestasi timnas kurang jos, pakai pelatih asing dan naturalisasi pemain. kinerja wasit sarat kontroversi, wasit asing disiapkan jadi solusi. sebenarnya, ini kebijakan yg normal. toh, ketuanya kan bule. iwan bule. kapan ini exco pssi atau pt lib-nya orang asing juga? ooops.",2022-03-08 14:29:31+00:00
tp kira2 apa sih yg jadiin pemain naturalisasi tidak punya impact yg besar untuk timnas?,2021-07-03 10:38:18+00:00
