cleaned_text,label,createdAt
"waduh, tahu gini dulu kagak usah dinaturalisasi sih kalau minim kontribusi untuk timnas indonesia.",0.0,2022-02-19 12:10:00+00:00
"tolol lu , terus lu sebagai exco pssi prestasi apa yang telah lu perbuat untuk timnas selain naturalisasi(?) fans timnas wajarlah ngamuk sementara pemecatan sty aja dadakan dan sangat tidak fair.",0.0,2025-01-28 16:34:45+00:00
"klub pemain kita lainnya bisa nih kek gini... apalagi yang calon naturalisasi, biar mereka semakin mau bela timnas...",2.0,2023-08-09 01:31:35+00:00
"wkwk ini pemain naturalisasi sampah bgt ga ada bagus2 nya buat sepakbola indonesia. di timnas gagal penalti, di liga ga respect, di socmed jg ngegas mulu lancar bener ngehujatnya",0.0,2022-08-20 08:10:13+00:00
menurut gue kayanya gapapa deh timnas indo banyakin pemain naturalisasi yang penting bisa memperbaiki kualitas sepak bolanya soalnya dari dulu tu sepak bola indonesia gini gini aja mulai dari gue sd sampe udah kuliah,2.0,2022-12-23 17:24:00+00:00
males nonton timnas sejak coachnya diganti. dgn sty setidaknya ada perencanaan dan proses jangka panjang. setuju2 aja dgn naturalisasi tp begitu ngeliat cuma 1 pemain homegrown yg maen ya sedih juga. keliatan bgt muatan politiknya dan pingin hasil instan.,0.0,2025-10-12 06:00:22+00:00
banyak pemain naturalisasi di timnas indonesia tp yg di elu2 kan tetap asnawi. jd artinya apa bang messi?,0.0,2023-06-20 06:07:09+00:00
"coba deh standar naturalisasi pemain bolanya ditingkatkan pak. pemain keturunan yg masih aktif main di kompetisi utama eropa / kompetisi teratas asia yg dinaturalisasi. syukur-syukur yang masih usia muda. pasti punya dampak buat timnas, pak.",2.0,2021-07-03 09:49:19+00:00
"banyak skali keturunan indonesia yg ternyata bermain bagus dan bisa bersinar di luar negri. ok, gua gak muna gua setuju naturalisasi (demi prestasi timnas senior yg sudah memalukan) tapi, pertanyaan gua , berarti pelatihan dalam negri kita itu seburuk apa?",0.0,2021-04-09 06:37:29+00:00
"wih negara-negara asean jadi pada gencar pemain naturalisasi ma keturunan, ini jadi menarik ketika timnas harus bersaing lagi nanti di wc 2030, apakah timnas kita akan tetep perform atau seperti biasa negara asean yang lain ngejar, menarik",1.0,2025-06-26 02:17:59+00:00
"laku banget ya nigga² di indonesia, easy kentu. pantes banyak pemain timnas dari naturalisasi.",0.0,2025-11-16 22:22:04+00:00
yagimana.. lo kan dari belom kena kopit aja udah jadi koordinator dajjal.. masa naturalisasi jadi timnas gamau sik?,0.0,2021-07-07 13:32:24+00:00
makin ke bukti statement om rocky gerung “timnas indonesia hmpir 100% naturalisasi adalah produk penipuan bagi bangsa indonesia”.,0.0,2025-03-24 12:22:33+00:00
"klo gaji club itu ud di rangkep bro selama kontrak,misal 2 thn ya bayar nya 2th lgsg itu+nilai kontrak si pemain,beda lg sm timnas yg sistem nya bulanan,klo sponsor club sm sponsor pemain kan beda lagi pemasukannya.coba situ liat pemain naturalisasi yg main di luar gabakal…",1.0,2023-02-07 09:08:52+00:00
"saran jgn ada naturalisasi., progam naturalisasi ga pernah menghasilkan piala apapun buat timnas indonesia.",0.0,2021-07-10 00:25:44+00:00
"belum dinaturalisasi, sandy walsh kecewa tak bisa bela timnas indonesia: calon pemain naturalisasi sandy walsh belum bisa memperkuat timnas indonesia saat melawan kuwait di kualifikasi piala asia 2023",1.0,2022-06-05 04:35:02+00:00
"sakit yang tak berdarah yang terhormat pengurus federasi sepak bola indonesia, kira2 mau sampai kapan sepakbola kita seperti ini? bkn salah pelatih atau pemain, tp yg slh yg ngurus sepakbola..apa perlu kita naturalisasi pengurus sepakbola luar, biar ngurus sepakbola disini",0.0,2022-05-19 11:59:14+00:00
fans fans fomo timnas indonesia ini ketagihan naturalisasi dan cara instan yang dikerjakan erick thohir ketika ada yang membahas roadmap soal pembinaan usia muda liga dan sebagainya mereka marah dan mereka akan kira yang mengkritik itu buzzer salah 1 pundit lucu sih,0.0,2025-01-15 00:44:57+00:00
"ternyata timnas indonesia stuck disitu2 aja yaa, kirain ada perkembangan ya berarti gasalah sty mau banyak pemain naturalisasi, biar punya pemain timnas yg isi staminanya roti susu",0.0,2021-12-29 14:32:22+00:00
naturalisasi pemain bukan satu-satunya opsi meningkatkan prestasi timnas indonesia,1.0,2022-11-09 08:16:35+00:00
"tbh, gw sedikit bersyukur timnas gagal lolos ke pildun. biar pssi sadar diri, kalo naturalisasi aja ga cukup dan orang-orang yang berharap dapet “sesuatu” dari timnas akhirnya ga dapet apa-apa",0.0,2025-10-11 21:46:52+00:00
"bawa timnas indonesia naik peringkat fifa ke 100. udah bisa lawan tim2 arab dengan bermodalkan pemain naturalisasi asli dari fm21. ezra walian, thom haye, elkan baggot, dan benjamin van leer jadi tumpuan.",2.0,2021-04-05 02:38:15+00:00
semoga pemain timnas ini (khususnya yang naturalisasi) bisa terus main di liga eropa. asiancup2023,2.0,2024-01-28 12:41:28+00:00
ntar kalo udah umur 30 belom nembus timnas belanda baru mau di naturalisasi lord wkkk,0.0,2023-07-15 16:30:34+00:00
menolak mengakui hindia belanda sebagai indonesia yang menjadi wakil dari asia pertama di piala dunia sama dengan netizen yang menolak thom haye dkk berstatus sebagai pemain naturalisasi di timnas indonesia. source:,0.0,2024-06-28 01:35:27+00:00
jadi kangen pemain naturalisasi timnas indon nyanyiin indonesia raya cuma bagian reffnya aj sisanya ngunyah2 permen karet,0.0,2021-07-11 18:59:11+00:00
"gini pak coach, kalo udah ngomongin pemain timnas, gak ada istilahnya pemain naturalisasi atau pemain lokal. statusnya sama kok, pemain timnas indonesia. siapapun pemain timnas indonesia, kalo main jelek ya dibilang jelek. kalo main bagus ya dipuji main bagus.",2.0,2023-12-19 15:56:50+00:00
"timnas akan segera dibentuk. terdiri pemain nasional akamsi yg berada di berbagai u. merekalah yg akan dicoach allout. pemain eredivisie naturalisasi sdh pulang semua ke negaranya masing2.akamsi: marselino,rizky r,ricky kambuaya,beckham putra, egy mv,witan,nadeo",1.0,2025-10-25 22:23:24+00:00
"sekarang mah bakal lebih yakin dan percaya klu timnas rata2 di isi sama naturalisasi, wong lokal2 nya aja pada begini sikap dasar nya, ngerakeun pisan maneh erwin",0.0,2021-06-15 05:55:54+00:00
ayo satukan mereka di timnas indonesia. siap naturalisasi,2.0,2021-09-20 15:31:50+00:00
"saya lebih suka pakai term pemacu utk pemain2 naturalisasi keturunan di timnas indonesia. naturasilasi blm tentu bisa dilakukan terus menerus, banyak hal yg jadi alasan. pemain naturalisasi digunakan sbg pemacu pemain2 lokal utk menaikkan standarnya.",2.0,2024-01-26 07:10:25+00:00
ronaldo siap di naturalisasi timnas indonesia hiburan dulu...,1.0,2024-12-15 10:45:51+00:00
