cleaned_text,label,createdAt
"timnas piala asia 2007 tanpa naturalisasi pemain, dlu nonton sampai dredeg wkwk",2.0,2021-01-04 13:19:15+00:00
timnas.. penyerang muda nasional itu langka.. masa mau ngandelin pemain naturalisasi terus... itupun lewat masa keemasan,0.0,2021-01-08 06:03:02+00:00
"yes. kaya stefano lilipaly di timnas sepakbola kita, aslinya dia kan orang belanda tapi sudah kurang lebih 5 tahun di indonesia jadi bisa di naturalisasi buat ngewakilin timnas.",1.0,2021-01-08 08:30:14+00:00
prihatin jg hampir seabad blm konsisten meraih prestasi dlm mengelola bgm klub timnas bersaing dgn negeri jiran jadwal kompetisi jg pembinaan usia muda bgt carut marut pakai pemain naturalisasi namun sdh lewat masa jayanya,0.0,2021-01-09 04:11:23+00:00
"kalo ada pemain timnas indo naturalisasi, dr tiongkok misalnya. dia bawa indo ke piala dunia, tp d sisi lain slalu mengagungkan negara asalnya yaitu tiongkok. rakyat indo marah ga ya? mungkin itu yg d rasain fans bola jerman trhadap ozil. apple to apple g perbandinganny? haha",,2021-01-10 07:00:11+00:00
"bisa gitu pemainnya sukses padahal timnasnya tidak? timnas tidak pernah juara, jelas pemainnya tidak bisa dianggap sukses, bahkan keputusan naturalisasi nya pun tidak bisa dianggap sukses...",0.0,2021-01-12 18:59:35+00:00
naturalisasiin aja. lumayan naturalisasi berkualitas buat timnas kita.,2.0,2021-01-16 07:02:48+00:00
"di naturalisasi dulu, kaya timnas",1.0,2021-01-18 03:50:58+00:00
"mending ditunda aja dulu.. jujur aja, pon akhir-akhir ini ga tau muaranya ke mana? harusnya pon digunakan asosiasi olahraga pusat untuk menemukan bibit baru di timnas membawa nama bangsa, tetapi kayaknya pon justru provinsi ramai-ramai naturalisasi atlit jadi dari daerah lain.",0.0,2021-02-01 11:30:49+00:00
"harusnya di naturalisasi dulu pak, biar kaya timnas kwkwkwkwk",0.0,2021-02-03 23:55:00+00:00
jaman timnas belom ada naturalisasi mainnya lebih greget.,2.0,2021-02-04 15:38:30+00:00
"ga ada naturalisasi yang sia-sia, karena kalau ga bisa membela timnas ya maju aja jadi kepala daerah misalnya daftar jadi bupati di ntt sana..",0.0,2021-02-10 04:33:33+00:00
ngpin naturalisasi emgnya pemain timnas hahaa.. yg pnting kgak banjir dan macet brtti selesai soal jkt,0.0,2021-02-10 13:58:30+00:00
berharap jadwal kompetisi klub bertanding serentak sabtu minggu tdk hanya 1 musim hapus regulasi pemain asing 3+1 kompetisi segala usia di gulirkan aturan naturalisasi di perketat usia 18- 23 u timnas.. smg berprestasi,2.0,2021-02-11 00:22:21+00:00
"karena naturalisasi bisa buat timnas dki jakarta bisa lebih beragam, ada yg dari zimbabwe, oslo, wonogiri dll",1.0,2021-02-13 04:43:47+00:00
semoga jadwal kompetisi klub bertanding serentak sabtu minggu tdk menganggu agenda timnas jg klub dipentas internasional tdk hanya 1 kompetisi saja gulirkan kompetisi segala usia hapus regulasi pemain asing 3+1 perketat aturan pemain naturalisasi hrs muda,1.0,2021-02-18 07:48:11+00:00
kita butuh banyak sekali atlet wna yang bersedia membela timnas ina sebagai wni ... naturalisasi,,2021-02-19 22:04:32+00:00
"bukan ada 1 yg langsung di naturalisasi buat timnas, jamannya mereka kalo gak salah",1.0,2021-02-19 23:17:48+00:00
"dia taunya naturalisasi pemain luar jd pemain timnas , kek diego michiels",,2021-02-22 02:02:42+00:00
tidka lain dan tidak bukan abis naturalisasi langsung main timnas,2.0,2021-02-22 06:33:26+00:00
dulu bilangnya gak ada penggusuran hahaha...normalisasi g mau ngotot naturalisasi wkwkwkwk dipikir pemaen timnas hahaha,0.0,2021-02-23 11:26:48+00:00
"untuk naturalisasi kan haknya dia om, krn udah memenuhi uu... klo urusan timnas balik lagi nanti ke pelatihnya",1.0,2021-02-27 05:15:10+00:00
"siapapun pemain asing yang dah memenuhi syarat uu dinaturalisasi ingin membela timnas silahkan. yang aneh itu pemain2 keturunan ingin dinaturalisasi tapi gak mau lebih dulu main di klub indo, padahal naturalisasi lewat pssi itu hal gak mungkin.",0.0,2021-02-27 05:57:45+00:00
